name	type	checksum	instrument	read_length	library
02212018-C03-NA18913.fastq.gz	fastq	d38248fbb572f13e8cf70490ed86d3b8	HiSeq 2500	50	single
02212018-C04-NA18913.fastq.gz	fastq	03318a28287a30be0f0036eb77ccaaa6	HiSeq 2500	50	single
02212018-C05-NA19098.fastq.gz	fastq	f889e47db7415b2b237bd1630fc6ef88	HiSeq 2500	50	single
02212018-C06-NA19098.fastq.gz	fastq	9dc7e6d46f964f0174ce7ebab8f8b921	HiSeq 2500	50	single
02212018-C07-NA18913.fastq.gz	fastq	959e9c3db0c79d2b44deb5a96247f24a	HiSeq 2500	50	single
02212018-C08-NA19098.fastq.gz	fastq	e0ee2eb8014b203e0ca0ece0f8cdf1e0	HiSeq 2500	50	single
02212018-C09-NA18913.fastq.gz	fastq	35309de7c9cbed872809652a913a350e	HiSeq 2500	50	single
02212018-C10-NA19185.fastq.gz	fastq	ebf2766d596c47d64f461ae645290556	HiSeq 2500	50	single
02212018-C11-NA19098.fastq.gz	fastq	f35dfc5c693b021cc320f606f8d2adb0	HiSeq 2500	50	single
02212018-C12-NA18505.fastq.gz	fastq	43a2b83361fab474fb4fcd9e92dff10f	HiSeq 2500	50	single
02212018-D01-NA18505.fastq.gz	fastq	1f30d9fb9a5b0e9a7f8d8f015216c100	HiSeq 2500	50	single
02212018-D02-NA18505.fastq.gz	fastq	873f52b2320b3a5d6ae0aa7c1bdd8c44	HiSeq 2500	50	single
02212018-D03-NA18913.fastq.gz	fastq	faeb01c75fbb3e3ab0b831150611aec8	HiSeq 2500	50	single
02212018-D04-NA19143.fastq.gz	fastq	029256de7fe9ddbf1f40e3827094077c	HiSeq 2500	50	single
02212018-D05-NA19098.fastq.gz	fastq	70279b07dcf25d9cba660e5f77fd3f22	HiSeq 2500	50	single
02212018-D06-NA18505.fastq.gz	fastq	bf78ad1d3b28b1ee9202e6b4a561ee54	HiSeq 2500	50	single
02212018-D07-NA18505.fastq.gz	fastq	8b62f4625e85676d0e54e2a95bce219d	HiSeq 2500	50	single
02212018-D08-NA18505.fastq.gz	fastq	7c9291e007481cbd11e0d982413e1bf4	HiSeq 2500	50	single
02212018-D09-NA18505.fastq.gz	fastq	ed001fe9492f0b4e6d169add0f09ddcf	HiSeq 2500	50	single
02212018-D10-NA18505.fastq.gz	fastq	b0882e22006d97112f3f0b76fd07f9e2	HiSeq 2500	50	single
